"","SCIENTIFIC_NAME","mean_SSI"
"358","Festuca rubra",0.446023497671585
"359","Festuca saximontana",0.777050603929552
"360","Fragaria vesca",0.517696024904231
"361","Fragaria virginiana",0.26280710234477
"363","Gaillardia aristata",0.693121422714547
"364","Galearis rotundifolia",1.0306484778696
"365","Galeopsis tetrahit",0.595156506663779
"366","Galium aparine",1.43813566370753
"367","Galium boreale",0.306084662907669
"368","Galium labradoricum",0.850090247713581
"370","Galium trifidum",0.622467132382718
"371","Galium triflorum",0.477212444839822
"372","Gaultheria hispidula",0.95035382933825
"373","Gentianella amarella",0.965337730416707
"374","Geocaulon lividum",1.01995890212478
"375","Geranium bicknellii",1.31706112570113
"377","Geranium richardsonii",1.73725408512918
"378","Geranium viscosissimum",0.909274748207244
"379","Geum aleppicum",0.486334354283375
"380","Geum macrophyllum",0.419447772648218
"381","Geum rivale",0.810301141379392
"382","Geum triflorum",0.582805183323822
"383","Glyceria borealis",0.788536906167503
"384","Glyceria grandis",0.582992299429409
"385","Glyceria pulchella",1.21547604570529
"386","Glyceria striata",0.730350238439702
"387","Glycyrrhiza lepidota",0.490437002857633
"388","Gnaphalium palustre",0.988061426259972
"389","Gnaphalium uliginosum",1.00442810165057
"390","Goodyera repens",1.95101477422405
"391","Grindelia squarrosa",0.386487907874565
"392","Gutierrezia sarothrae",1.11084552546531
"393","Gymnocarpium dryopteris",0.775171039567402
"394","Hackelia deflexa",0.967438783939397
"396","Halenia deflexa",0.880844401875652
"398","Hedysarum alpinum",0.676115027687222
"400","Helenium autumnale",1.98522382803155
"401","Helianthus annuus",2.81349241098915
"404","Heracleum sphondylium",0.525098835590367
"405","Hesperostipa comata",0.877088574092752
"406","Hesperostipa curtiseta",1.14762810804029
"408","Heterotheca villosa",0.551852471349525
"409","Heuchera richardsonii",0.587655077418263
"410","Hieracium albiflorum",1.53871801731253
"412","Hieracium umbellatum",0.359484232320125
"413","Hippuris vulgaris",0.679270364772144
"414","Hordeum jubatum",0.524958657126144
"415","Hordeum vulgare",1.57854728767642
"417","Hymenoxys richardsonii",2.44676706800895
"418","Hypericum majus",3.16227766016838
"419","Impatiens capensis",2.84553876676085
"421","Isoetes echinospora",3.16227766016838
"422","Iva axillaris",0.89311929867867
"423","Juncus albescens",1.23050630399672
"424","Juncus alpinoarticulatus",0.884390121789905
"425","Juncus arcticus",0.394465209339478
"426","Juncus brevicaudatus",3.16227766016838
"427","Juncus bufonius",0.643240859339187
"428","Juncus confusus",1.56770488823144
"430","Juncus filiformis",2.12516443656714
"431","Juncus longistylis",1.08520047052768
"432","Juncus nodosus",0.706260573579544
"433","Juncus tenuis",0.833481549764504
"434","Juncus vaseyi",1.43301884641146
"435","Juniperus communis",1.73363798568822
"436","Juniperus horizontalis",2.96210630994085
"437","Kalmia microphylla",1.83134594781342
"438","Kalmia polifolia",1.65812841198681
"439","Kochia scoparia",1.04298183581717
"440","Koeleria macrantha",0.413078049497902
