"Latitude","Longitude","Protocol","NRNAME","WetlandType","Site","Year","rich","totdist_percent","UniqueID","CSI","propexotic"
49.466656,-110.295204,"Wetland","Grassland","Marsh","1597",2012,24,12.5072876,"Wetland_1597",0.57290728875,8.33333333333333
49.471233,-112.854454,"Wetland","Grassland","Marsh","1622",2011,26,99.9652095,"Wetland_1622",0.579614954576923,30.7692307692308
49.500614,-111.985397,"Wetland","Grassland","Shallow Lake","1608",2012,26,21.2042258,"Wetland_1608",0.634917619,11.5384615384615
49.524582,-113.680252,"Wetland","Grassland","Shallow Lake","1619",2008,16,88.060536,"Wetland_1619",0.5993819008125,43.75
49.525253,-110.572441,"Wetland","Grassland","Marsh","1596",2012,32,2.9668338,"Wetland_1596",0.65498199409375,6.25
49.534229,-113.438545,"Wetland","Grassland","Wet Meadow","1620",2007,12,9.9214005,"Wetland_1620",0.568294587583333,8.33333333333333
49.534229,-113.438545,"Wetland","Grassland","Wet Meadow","1620",2015,26,16.1939744,"Wetland_1620",0.564310547153846,11.5384615384615
49.561714,-113.921532,"Wetland","Grassland","Wet Meadow","1618",2011,32,65.5933284,"Wetland_1618",0.53050258384375,31.25
49.561714,-113.921532,"Wetland","Grassland","Wet Meadow","1618",2015,35,67.3248355,"Wetland_1618",0.551274541571429,22.8571428571429
49.562969,-110.831818,"Terrestrial","Grassland","Wet Meadow","1595",2016,28,0.570448511952117,"Terrestrial_1595",0.616263172964286,35.7142857142857
49.562969,-110.831818,"Wetland","Grassland","Wet Meadow","1595",2011,24,19.7607501,"Wetland_1595",0.64240799775,8.33333333333333
49.562969,-110.831818,"Wetland","Grassland","Wet Meadow","1595",2016,28,25.8000167,"Wetland_1595",0.583552488107143,17.8571428571429
49.574409,-112.45948,"Wetland","Grassland","Marsh","1606",2011,18,99.9944321,"Wetland_1606",0.529325782111111,27.7777777777778
49.584583,-112.235481,"Terrestrial","Grassland","Marsh","1607",2012,7,99.8932304380722,"Terrestrial_1607",1.34200482057143,57.1428571428571
49.584583,-112.235481,"Wetland","Grassland","Swamp","1607",2012,16,98.0550857,"Wetland_1607",0.7598311041875,43.75
49.604824,-111.181854,"Wetland","Grassland","Shallow Lake","1594",2011,26,18.0537884,"Wetland_1594",0.677427361576923,23.0769230769231
49.604824,-111.181854,"Wetland","Grassland","Shallow Lake","OG-1594-1",2013,26,22.4638824,"Wetland_OG-1594-1",0.580518984807692,26.9230769230769
49.631435,-110.293648,"Wetland","Rocky Mountain","Marsh","1580",2012,30,4.016602,"Wetland_1580",0.620470528566667,6.66666666666667
49.631435,-110.293648,"Wetland","Rocky Mountain","Shallow Lake","OG-1580-1",2013,41,1.8079416,"Wetland_OG-1580-1",0.559485545414634,21.9512195121951
49.637825,-111.392174,"Wetland","Grassland","Marsh","1593",2011,24,73.0850896,"Wetland_1593",0.520432442625,20.8333333333333
49.637825,-111.392174,"Wetland","Grassland","Marsh","1593",2016,13,78.3920695,"Wetland_1593",0.517550500461538,23.0769230769231
49.642696,-113.042488,"Wetland","Grassland","Shallow Lake","1604",2010,10,86.9098547,"Wetland_1604",0.7420945786,80
49.642696,-113.042488,"Wetland","Grassland","Shallow Lake","OG-1604-1",2011,5,0,"Wetland_OG-1604-1",0.5469556574,40
49.644451,-111.661781,"Wetland","Grassland","Marsh","1592",2009,44,30.8992464,"Wetland_1592",0.595617854409091,13.6363636363636
49.646912,-112.838814,"Wetland","Grassland","Marsh","1605",2011,6,98.5817072,"Wetland_1605",0.331030857166667,16.6666666666667
49.674992,-110.570435,"Wetland","Grassland","Shallow Lake","1579",2012,14,16.5692788,"Wetland_1579",0.520792846214286,28.5714285714286
49.675694,-113.354515,"Wetland","Grassland","Shallow Lake","1603",2007,12,62.0222766,"Wetland_1603",0.54155031275,41.6666666666667
49.675694,-113.354515,"Wetland","Grassland","Wet Meadow","1603B",2015,17,61.38354,"Wetland_1603B",0.552113449411765,35.2941176470588
49.685371,-113.608124,"Wetland","Grassland","Shallow Lake","OG-1602-1",2013,39,1.1613704,"Wetland_OG-1602-1",0.538663030410256,33.3333333333333
49.685371,-113.608124,"Wetland","Grassland","Wet Meadow","1602",2007,10,1.7597587,"Wetland_1602",0.4722255689,10
49.685371,-113.608124,"Wetland","Grassland","Wet Meadow","1602",2015,27,0.4493114,"Wetland_1602",0.627109519851852,40.7407407407407
49.692783,-111.960442,"Wetland","Grassland","Wet Meadow","1591",2010,33,9.2574572,"Wetland_1591",0.781073687181818,9.09090909090909
49.692783,-111.960442,"Wetland","Grassland","Wet Meadow","1591",2015,31,12.7682701,"Wetland_1591",0.66708145216129,25.8064516129032
49.69857,-110.767006,"Wetland","Grassland","Marsh","1578",2011,30,98.6361405,"Wetland_1578",0.4950545766,20
49.729866,-111.022934,"Wetland","Grassland","Marsh","1577",2011,26,26.595305,"Wetland_1577",0.490582328615385,11.5384615384615
49.737457,-113.825783,"Wetland","Grassland","Wet Meadow","1601",2007,27,48.563049,"Wetland_1601",0.671846058444444,25.9259259259259
49.737457,-113.825783,"Wetland","Grassland","Wet Meadow","1601",2015,31,41.3613375,"Wetland_1601",0.555673062451613,29.0322580645161
49.743179,-112.16703,"Wetland","Grassland","Marsh","1590",2009,34,25.9656098,"Wetland_1590",0.586290238323529,20.5882352941176
49.743179,-112.16703,"Wetland","Grassland","Wet Meadow","1590B",2015,15,99.1382745,"Wetland_1590B",0.627136529066667,86.6666666666667
49.77964,-111.309196,"Wetland","Grassland","Marsh","1576",2011,20,84.3224897,"Wetland_1576",0.4699935094,20
49.783173,-112.453911,"Wetland","Grassland","Shallow Lake","1589",2014,29,99.9997117,"Wetland_1589",0.730392803517241,48.2758620689655
49.810951,-112.733177,"Wetland","Grassland","Shallow Lake","1588",2014,24,86.1600101,"Wetland_1588",0.630164682208333,58.3333333333333
49.811783,-112.968109,"Wetland","Grassland","Marsh","1587",2014,21,93.7567117,"Wetland_1587",0.547274527095238,38.0952380952381
49.81501,-111.638481,"Wetland","Grassland","Shallow Lake","OG-1575-1",2013,26,1.203553,"Wetland_OG-1575-1",0.551585898846154,23.0769230769231
49.81501,-111.638481,"Wetland","Grassland","Wet Meadow","1575",2008,34,78.1896841,"Wetland_1575",0.543681766647059,11.7647058823529
49.81501,-111.638481,"Wetland","Grassland","Wet Meadow","1575",2015,24,54.1095184,"Wetland_1575",0.560703405083333,29.1666666666667
49.83321,-111.856102,"Wetland","Grassland","Marsh","1574",2009,34,38.073059,"Wetland_1574",0.613481608323529,14.7058823529412
49.83321,-111.856102,"Wetland","Grassland","Marsh","1574",2015,27,13.7915356,"Wetland_1574",0.629882408074074,37.037037037037
49.83569,-110.197792,"Wetland","Grassland","Shallow Lake","1563",2012,40,86.5513612,"Wetland_1563",0.5463778217,17.5
49.878643,-113.285866,"Wetland","Grassland","Wet Meadow","1586",2010,22,92.0815119,"Wetland_1586",0.667800443863636,59.0909090909091
49.878643,-113.285866,"Wetland","Grassland","Wet Meadow","1586",2016,13,88.6731007,"Wetland_1586",0.667330890230769,61.5384615384615
49.883038,-110.436813,"Wetland","Grassland","Marsh","1562",2012,20,71.527878,"Wetland_1562",0.467708897,25
49.896278,-112.10746,"Wetland","Grassland","Marsh","1573",2011,20,50.6238637,"Wetland_1573",0.51297767875,30
49.896278,-112.10746,"Wetland","Grassland","Marsh","1573",2015,27,58.4747039,"Wetland_1573",0.597498370962963,37.037037037037
49.915531,-113.542526,"Wetland","Grassland","Wet Meadow","1585",2009,27,100,"Wetland_1585",0.541091449962963,29.6296296296296
49.915531,-113.542526,"Wetland","Grassland","Wet Meadow","1585",2016,22,99.3700313,"Wetland_1585",0.535720944227273,36.3636363636364
49.918877,-111.014114,"Terrestrial","Grassland","Marsh","1560",2011,30,60.2111090729266,"Terrestrial_1560",0.772562544433333,46.6666666666667
49.918877,-111.014114,"Terrestrial","Grassland","Marsh","1560",2013,5,0,"Terrestrial_1560",0.8621135596,60
49.918877,-111.014114,"Wetland","Grassland","Marsh","1560",2011,34,58.643837,"Wetland_1560",0.542048769235294,29.4117647058824
49.919498,-110.721718,"Wetland","Grassland","Marsh","1561",2011,56,26.1113419,"Wetland_1561",0.566945245607143,25
49.925816,-112.371689,"Wetland","Grassland","Marsh","1572",2014,32,79.0771357,"Wetland_1572",0.53687010965625,37.5
49.925816,-112.371689,"Wetland","Grassland","Shallow Lake","OG-1572-1",2013,14,1.6915814,"Wetland_OG-1572-1",0.557343993142857,28.5714285714286
49.944073,-113.860138,"Wetland","Grassland","Wet Meadow","1584",2009,36,2.1060819,"Wetland_1584",0.553137052333333,11.1111111111111
49.944073,-113.860138,"Wetland","Grassland","Wet Meadow","1584",2016,42,0.67373,"Wetland_1584",0.512706360071429,23.8095238095238
49.960526,-111.218658,"Terrestrial","Grassland","Marsh","1559",2011,3,99.9996015734401,"Terrestrial_1559",0.630286054666667,100
49.960526,-111.218658,"Terrestrial","Grassland","Marsh","1559",2013,12,0,"Terrestrial_1559",0.9033157225,75
49.960526,-111.218658,"Wetland","Grassland","Shallow Lake","1559",2011,12,2.7458281,"Wetland_1559",0.581790265416667,41.6666666666667
49.975773,-112.666847,"Wetland","Grassland","Shallow Lake","1571",2014,17,100,"Wetland_1571",0.726563406647059,35.2941176470588
50.003742,-111.578972,"Wetland","Grassland","Marsh","1558",2008,14,92.9793365,"Wetland_1558",0.583592783357143,7.14285714285714
50.003742,-111.578972,"Wetland","Grassland","Shallow Lake","OG-1558-1",2013,36,0,"Wetland_OG-1558-1",0.672560803416667,25
50.003742,-111.578972,"Wetland","Grassland","Wet Meadow","1558B",2015,22,19.615842,"Wetland_1558B",0.4579704995,22.7272727272727
50.011517,-112.921288,"Wetland","Grassland","Marsh","1570",2014,17,93.7037581,"Wetland_1570",0.672288738823529,47.0588235294118
50.018612,-110.142075,"Terrestrial","Grassland","Marsh","1545",2007,16,99.9999999748601,"Terrestrial_1545",1.2795180824375,68.75
50.018612,-110.142075,"Terrestrial","Grassland","Marsh","1545",2015,14,99.9999999748601,"Terrestrial_1545",1.25869252607143,78.5714285714286
50.018612,-110.142075,"Wetland","Grassland","Shallow Lake","OG-1545-1",2013,29,0,"Wetland_OG-1545-1",0.608202734965517,13.7931034482759
50.018612,-110.142075,"Wetland","Grassland","Wet Meadow","1545",2007,25,12.0233726,"Wetland_1545",0.51505814828,8
50.018612,-110.142075,"Wetland","Grassland","Wet Meadow","1545",2015,28,13.1651374,"Wetland_1545",0.492800798892857,14.2857142857143
50.030048,-111.793381,"Wetland","Grassland","Shallow Lake","1557",2008,19,16.9210045,"Wetland_1557",0.574961913105263,15.7894736842105
50.030048,-111.793381,"Wetland","Grassland","Shallow Lake","1557",2015,22,21.3430121,"Wetland_1557",0.588611243954545,27.2727272727273
50.049408,-113.262856,"Wetland","Grassland","Shallow Lake","1569",2009,29,7.3451174,"Wetland_1569",0.668925179068966,17.2413793103448
50.049408,-113.262856,"Wetland","Grassland","Wet Meadow","1569B",2016,20,66.9024474,"Wetland_1569B",0.59503870355,40
50.059593,-113.466103,"Wetland","Grassland","Wet Meadow","1568",2009,25,90.4475359,"Wetland_1568",0.49859494132,36
50.059593,-113.466103,"Wetland","Grassland","Wet Meadow","1568",2016,33,91.5964817,"Wetland_1568",0.594985334606061,51.5151515151515
50.064293,-110.399872,"Wetland","Grassland","Shallow Lake","1544",2007,16,0.00511,"Wetland_1544",0.659198809125,25
50.064293,-110.399872,"Wetland","Grassland","Shallow Lake","1544",2015,22,42.2625675,"Wetland_1544",0.654105760545455,18.1818181818182
50.071648,-112.112526,"Wetland","Grassland","Wet Meadow","1556",2009,42,6.009323,"Wetland_1556",0.569911693642857,19.047619047619
50.071648,-112.112526,"Wetland","Grassland","Wet Meadow","1556",2015,40,24.2366304,"Wetland_1556",0.5737558403,25
50.074966,-110.703575,"Wetland","Grassland","Marsh","1543",2014,26,100,"Wetland_1543",0.577533706,30.7692307692308
50.081772,-113.789474,"Terrestrial","Grassland","Wet Meadow","1567",2009,46,0.316710942134103,"Terrestrial_1567",0.926211766608696,0
50.081772,-113.789474,"Terrestrial","Grassland","Wet Meadow","1567",2016,43,0,"Terrestrial_1567",0.902677278232558,2.32558139534884
50.081772,-113.789474,"Wetland","Grassland","Wet Meadow","1567",2009,40,83.0298707,"Wetland_1567",0.599374973375,17.5
50.081772,-113.789474,"Wetland","Grassland","Wet Meadow","1567",2016,26,90.7978336,"Wetland_1567",0.605806316346154,42.3076923076923
50.090096,-110.946297,"Wetland","Grassland","Marsh","1542",2014,32,16.9132583,"Wetland_1542",0.5111731473125,9.375
50.092964,-112.415634,"Wetland","Grassland","Marsh","1555",2014,38,0,"Wetland_1555",0.631388147710526,18.4210526315789
50.153278,-112.67485,"Wetland","Grassland","Shallow Lake","1554",2014,36,78.6655706,"Wetland_1554",0.547615237305556,30.5555555555556
50.155033,-112.915115,"Wetland","Grassland","Shallow Lake","1553",2014,19,94.5784667,"Wetland_1553",0.724695820578947,36.8421052631579
50.155033,-112.915115,"Wetland","Grassland","Shallow Lake","OG-1553-1",2013,21,0,"Wetland_OG-1553-1",0.581814626047619,23.8095238095238
50.165653,-111.242348,"Wetland","Grassland","Marsh","1541",2012,16,5.400391,"Wetland_1541",0.644064262,25
50.182167,-110.118004,"Wetland","Grassland","Wet Meadow","1526",2007,16,4.3616177,"Wetland_1526",0.5689718071875,0
50.182167,-110.118004,"Wetland","Grassland","Wet Meadow","1526",2015,32,9.4841522,"Wetland_1526",0.527309441375,18.75
50.217842,-110.2854,"Wetland","Grassland","Wet Meadow","1525",2010,35,0,"Wetland_1525",0.956941897514286,14.2857142857143
50.217842,-110.2854,"Wetland","Grassland","Wet Meadow","1525",2015,37,28.0127881,"Wetland_1525",0.548731031162162,18.9189189189189
50.221924,-111.808769,"Terrestrial","Grassland","Marsh","1539",2010,11,95.7278954760457,"Terrestrial_1539",1.06968617036364,72.7272727272727
50.221924,-111.808769,"Terrestrial","Grassland","Marsh","1539",2016,14,99.99392246485,"Terrestrial_1539",0.998482669071429,92.8571428571429
50.221924,-111.808769,"Wetland","Grassland","Shallow Lake","1539",2010,15,100,"Wetland_1539",0.664862697066667,73.3333333333333
50.229401,-113.435173,"Wetland","Grassland","Wet Meadow","1551",2009,27,92.6354781,"Wetland_1551",0.580885673851852,25.9259259259259
50.229401,-113.435173,"Wetland","Grassland","Wet Meadow","1551",2016,13,85.7395896,"Wetland_1551",0.720575404153846,46.1538461538462
50.243816,-110.60804,"Wetland","Grassland","Shallow Lake","1524",2014,15,37.1055887,"Wetland_1524",0.516642703466667,0
50.246426,-113.186638,"Wetland","Grassland","Shallow Lake","1552",2009,14,36.2464009,"Wetland_1552",0.820938098,28.5714285714286
50.253185,-113.744774,"Wetland","Grassland","Wet Meadow","1550",2010,11,97.7155853,"Wetland_1550",0.584784357545455,54.5454545454545
50.253185,-113.744774,"Wetland","Grassland","Wet Meadow","1550",2016,18,96.8340912,"Wetland_1550",0.595485740944445,44.4444444444444
50.260353,-112.086037,"Terrestrial","Grassland","Marsh","1538",2010,47,0,"Terrestrial_1538",0.651609328510638,29.7872340425532
50.260353,-112.086037,"Terrestrial","Grassland","Marsh","1538",2016,39,0,"Terrestrial_1538",0.734456818897436,23.0769230769231
50.260353,-112.086037,"Wetland","Grassland","Marsh","1538",2010,30,81.9274813,"Wetland_1538",0.611930377666667,23.3333333333333
50.260353,-112.086037,"Wetland","Grassland","Marsh","1538",2016,28,84.0627317,"Wetland_1538",0.633967729785714,17.8571428571429
50.260353,-112.086037,"Wetland","Grassland","Shallow Lake","OG-1538-1",2013,30,0,"Wetland_OG-1538-1",0.5888204882,30
50.268253,-110.866264,"Wetland","Grassland","Marsh","1523",2014,13,12.624141,"Wetland_1523",0.530341531076923,23.0769230769231
50.285,-112.352592,"Wetland","Grassland","Marsh","1537",2013,26,2.9205159,"Wetland_1537",0.500295876730769,19.2307692307692
50.31171,-111.143631,"Wetland","Grassland","Marsh","1522",2014,19,9.4019092,"Wetland_1522",0.570965764052632,10.5263157894737
50.349079,-112.581055,"Wetland","Grassland","Shallow Lake","1536",2013,27,95.820987,"Wetland_1536",0.820229149518519,48.1481481481481
50.364784,-112.817589,"Wetland","Grassland","Shallow Lake","1535",2013,20,98.5745485,"Wetland_1535",0.6336616215,35
50.380306,-110.307625,"Terrestrial","Grassland","Marsh","1506",2007,21,99.9996554150526,"Terrestrial_1506",0.888091784142857,57.1428571428571
50.380306,-110.307625,"Terrestrial","Grassland","Marsh","1506",2015,18,99.9996658006129,"Terrestrial_1506",0.842405680777778,66.6666666666667
50.380306,-110.307625,"Wetland","Grassland","Wet Meadow","1506",2007,13,97.1288016,"Wetland_1506",0.525168700230769,30.7692307692308
50.380306,-110.307625,"Wetland","Grassland","Wet Meadow","1506",2015,26,87.4286778,"Wetland_1506",0.492551304923077,15.3846153846154
50.403221,-113.142487,"Wetland","Grassland","Marsh","1534",2012,30,92.4553988,"Wetland_1534",0.473576931766667,20
50.404125,-110.599663,"Wetland","Grassland","Marsh","1505",2014,23,15.0659669,"Wetland_1505",0.60866746373913,13.0434782608696
50.418095,-111.738968,"Wetland","Grassland","Wet Meadow","1520",2016,19,72.3276297,"Wetland_1520",0.520979231578947,31.5789473684211
50.43446,-113.452827,"Wetland","Grassland","Marsh","1533",2012,13,79.6686152,"Wetland_1533",0.619748905,15.3846153846154
50.443134,-110.786758,"Terrestrial","Grassland","Marsh","1504",2014,68,11.1394024882142,"Terrestrial_1504",0.679785824529412,22.0588235294118
50.443134,-110.786758,"Wetland","Grassland","Marsh","1504",2014,27,9.4248636,"Wetland_1504",0.55009206937037,29.6296296296296
50.450142,-113.659668,"Wetland","Grassland","Marsh","1532",2012,38,3.895978,"Wetland_1532",0.496371632315789,18.4210526315789
50.486595,-111.091148,"Terrestrial","Grassland","Marsh","1503",2014,49,3.6090728473038,"Terrestrial_1503",0.81940746744898,16.3265306122449
50.486595,-111.091148,"Wetland","Grassland","Shallow Lake","1503",2014,16,8.7792138,"Wetland_1503",0.66887064225,12.5
50.507336,-113.974861,"Wetland","Grassland","Wet Meadow","1531",2009,12,84.7748885,"Wetland_1531",0.5055761635,16.6666666666667
50.507336,-113.974861,"Wetland","Grassland","Wet Meadow","1531",2015,20,78.2607268,"Wetland_1531",0.5170877605,10
50.517685,-112.549667,"Wetland","Grassland","Marsh","1517",2013,41,4.5887433,"Wetland_1517",0.617140382780488,21.9512195121951
50.539951,-114.206207,"Wetland","Grassland","Wet Meadow","1530",2009,42,0.282612,"Wetland_1530",0.56611515652381,21.4285714285714
