Geographic code,Geo_name,Geo_type,Province,"Geographic code, Census division","Geographic code, Census metropolitan area / census agglomeration",Pop_2016,"Incompletely enumerated Indian reserves and Indian settlements, 2016",Pop_2011,2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011",2011 population review or received update flag,Pop_percent_change,Total private dwellings 2016,Total private dwellings 2011,2011 adjusted total private dwellings flag,Total private dwellings_percent_change,"Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011",2011 adjusted private dwellings occupied by usual residents flag,"Private dwellings occupied by usual residents, % change",Land area in square kilometres_2016,Population density per square kilometre_2016,"National population rank, 2016","Provincial/territorial population rank, 2016"
4805034,Delia,Village,Alberta,4805,,216,F,186,F,F,,16.1,115,112,F,2.7,103,99,F,4,1.33,162.5,3861,314
4817855,Desmarais,Indian Settlement,Alberta,4817,,105,F,129,F,F,,-18.6,91,72,F,26.4,51,62,F,-17.7,1.45,72.4,4293,370
4811018,Devon,Town,Alberta,4811,835,6578,F,6515,T,F,D,1,2493,2472,T,0.8,2415,2388,T,1.1,14.3,460.2,591,72
4810046,Dewberry,Village,Alberta,4810,,186,F,201,F,F,,-7.5,104,106,F,-1.9,90,87,F,3.4,0.82,226.3,3985,332
4806032,Didsbury,Town,Alberta,4806,,5268,F,4957,F,F,,6.3,2119,1987,F,6.6,2031,1923,F,5.6,16.37,321.7,689,86
4816852,Dog Head 218,Indian reserve,Alberta,4816,860,99,F,111,F,F,,-10.8,49,49,T,0,39,45,T,-13.3,0.59,166.9,4314,373
4807029,Donalda,Village,Alberta,4807,,219,F,259,F,F,,-15.4,131,140,F,-6.4,115,119,F,-3.4,0.99,221,3849,311
4819044,Donnelly,Village,Alberta,4819,,342,F,305,F,F,,12.1,170,166,F,2.4,150,140,F,7.1,1.31,262,3413,283
4811031,Drayton Valley,Town,Alberta,4811,,7235,F,7118,T,F,D,1.6,3116,2929,T,6.4,2782,2770,T,0.4,30.72,235.5,540,65
4817828,Drift Pile River 150,Indian reserve,Alberta,4817,,828,F,800,F,F,,3.5,277,270,F,2.6,258,254,F,1.6,66.23,12.5,2338,217
4805026,Drumheller,Town,Alberta,4805,,7982,F,8029,F,F,,-0.6,3471,3418,F,1.6,3164,3182,F,-0.6,108.03,73.9,491,58
4802036,Duchess,Village,Alberta,4802,806,1085,F,992,F,F,,9.4,390,376,F,3.7,371,360,F,3.1,1.96,553.4,1991,189
4819826,Duncan's 151A,Indian reserve,Alberta,4819,,150,F,164,F,F,,-8.5,56,55,F,1.8,52,46,F,13,23.45,6.4,4114,353
4808024,Eckville,Town,Alberta,4808,,1125,F,1125,F,F,,0,465,485,F,-4.1,443,436,F,1.6,1.6,703.3,1950,187
