Protocol,ABMI.Site,Year,Latitude,Longitude,NSRNAME,NRNAME
Terrestrial,544,2006,56.315376,-110.536407,Central Mixedwood,Boreal
Terrestrial,545,2006,56.264294,-110.207954,Central Mixedwood,Boreal
Terrestrial,564,2006,56.529064,-114.080284,Lower Boreal Highlands,Boreal
Terrestrial,577,2006,56.76445,-119.965996,Lower Boreal Highlands,Boreal
Terrestrial,581,2006,56.693996,-118.585655,Lower Boreal Highlands,Boreal
Terrestrial,609,2006,56.560551,-119.925491,Lower Boreal Highlands,Boreal
Terrestrial,613,2006,56.519367,-118.665207,Lower Boreal Highlands,Boreal
Terrestrial,616,2006,56.436817,-117.657349,Dry Mixedwood,Boreal
Terrestrial,638,2006,55.781212,-110.729614,Central Mixedwood,Boreal
Terrestrial,646,2006,56.301464,-118.460602,Lower Boreal Highlands,Boreal
Terrestrial,647,2006,56.298279,-118.014931,Lower Boreal Highlands,Boreal
Terrestrial,654,2006,56.153553,-115.864441,Central Mixedwood,Boreal
Terrestrial,655,2006,56.103893,-115.517708,Central Mixedwood,Boreal
Terrestrial,687,2006,55.888378,-115.154457,Central Mixedwood,Boreal
Terrestrial,693,2006,55.743893,-113.3946,Central Mixedwood,Boreal
Terrestrial,702,2006,55.394737,-110.568474,Central Mixedwood,Boreal
Terrestrial,720,2006,55.686321,-114.670769,Central Mixedwood,Boreal
Terrestrial,724,2006,55.564034,-113.352173,Central Mixedwood,Boreal
Terrestrial,747,2006,55.593349,-115.911362,Central Mixedwood,Boreal
Terrestrial,753,2006,55.416237,-114.079887,Central Mixedwood,Boreal
Terrestrial,761,2006,55.156345,-111.656158,Central Mixedwood,Boreal
Terrestrial,785,2006,55.251911,-114.198654,Central Mixedwood,Boreal
Terrestrial,792,2006,55.02652,-112.013039,Central Mixedwood,Boreal
Terrestrial,825,2006,54.811955,-111.665276,Central Mixedwood,Boreal
Terrestrial,842,2006,55.067348,-116.368378,Central Mixedwood,Boreal
Terrestrial,870,2006,55.029003,-117.734436,Central Mixedwood,Boreal
Terrestrial,889,2006,54.434608,-111.914276,Central Mixedwood,Boreal
Terrestrial,904,2006,54.777012,-117.42556,Central Mixedwood,Boreal
Terrestrial,905,2006,54.788933,-117.136101,Central Mixedwood,Boreal
Terrestrial,939,2006,54.584103,-116.810234,Central Mixedwood,Boreal
Terrestrial,940,2006,54.55827,-116.587395,Central Mixedwood,Boreal
Terrestrial,216,2007,58.868587,-119.264351,Central Mixedwood,Boreal
Terrestrial,217,2007,58.858131,-118.82579,Central Mixedwood,Boreal
Terrestrial,218,2007,58.864971,-118.602684,Central Mixedwood,Boreal
Terrestrial,246,2007,58.692867,-119.19133,Central Mixedwood,Boreal
Terrestrial,247,2007,58.71748,-118.933899,Central Mixedwood,Boreal
Terrestrial,248,2007,58.639572,-118.591812,Central Mixedwood,Boreal
Terrestrial,276,2007,58.54435,-119.289284,Lower Boreal Highlands,Boreal
Terrestrial,277,2007,58.522884,-118.900536,Central Mixedwood,Boreal
Terrestrial,278,2007,58.492947,-118.629051,Central Mixedwood,Boreal
Terrestrial,329,2007,57.668869,-111.269035,Athabasca Plain,Boreal
Terrestrial,330,2007,57.668617,-110.962219,Central Mixedwood,Boreal
Terrestrial,331,2007,57.633213,-110.613266,Central Mixedwood,Boreal
Terrestrial,358,2007,57.497894,-111.375656,Athabasca Plain,Boreal
Terrestrial,359,2007,57.454884,-111.054222,Central Mixedwood,Boreal
Terrestrial,360,2007,57.468082,-110.709099,Central Mixedwood,Boreal
Terrestrial,388,2007,57.341125,-111.48172,Central Mixedwood,Boreal
Terrestrial,389,2007,57.299912,-111.113747,Central Mixedwood,Boreal
Terrestrial,390,2007,57.268986,-110.721565,Central Mixedwood,Boreal
Terrestrial,484,2007,57.296318,-119.8769,Lower Boreal Highlands,Boreal
Terrestrial,512,2007,56.563141,-110.742599,Central Mixedwood,Boreal
Terrestrial,513,2007,56.497036,-110.381218,Central Mixedwood,Boreal
Terrestrial,514,2007,56.463573,-110.065025,Central Mixedwood,Boreal
Terrestrial,515,2007,57.12088,-119.900093,Lower Boreal Highlands,Boreal
Terrestrial,543,2007,56.367294,-110.807022,Central Mixedwood,Boreal
Terrestrial,544,2007,56.315376,-110.536407,Central Mixedwood,Boreal
Terrestrial,545,2007,56.264294,-110.207954,Central Mixedwood,Boreal
